set,batch,rack_position,run_order,tube_sample,genotype,wormgrowth_sample_name,Solvent,parameters
1,2,C9,33,nmr33,RB2011,aos173_ga_ms2,CDCl3,proton
1,2,C10,34,nmr34,DL238,aos174_ga_ms2,CDCl3,proton
1,2,C11,35,nmr35,CX11314,aos175_ga_ms2,CDCl3,proton
1,2,C12,36,nmr36,PD1074,aos188_ga_ms3,CDCl3,proton
1,2,D1,37,nmr37,DL238,aos192_ga_ms2,CDCl3,proton
1,2,D2,38,nmr38,CX11314,aos199_ga_ms2,CDCl3,proton
1,2,D3,39,nmr39,PD1074,aos200_ga_ms2,CDCl3,proton
1,2,D4,40,nmr40,PD1074,aos53_ga_ms2,CDCl3,proton
1,2,D5,41,nmr41,N2,aos56_ga_ms2,CDCl3,proton
1,2,D6,42,pooled_natural_isolate,pooled_natural_isolate,pooled_natural_isolate,CDCl3,proton
1,2,D7,43,pooled_pd1074,pooled_pd1074,pooled_pd1074,CDCl3,proton
1,2,D8,44,nmr23,solera,solera,CDCl3,proton
1,2,D9,45,nmr22,extraction_blank_cdcl3,extraction_blank_cdcl3,CDCl3,proton
1,2,D10,46,solvent_blank,solvent_cdcl3,solvent_cdcl3,CDCl3,proton
2,3,A1,47,solvent_blank,solvent_d20,solvent_d20,D2O,noesypr1d
2,3,A2,48,nmr42,extraction_blank_d20,extraction_blank_d20,D2O,noesypr1d
2,3,A3,49,nmr43,solera,solera,D2O,noesypr1d
2,3,A4,50,nmr44,VC1265,aos184_ga_ms2,D2O,noesypr1d
2,3,A5,51,nmr45,PD1074,aos185_ga_ms2,D2O,noesypr1d
2,3,A6,52,nmr46,PD1074,aos27_ga_ms4,D2O,noesypr1d
2,3,A7,53,nmr47,KJ550,aos28_ga_ms2,D2O,noesypr1d
2,3,A8,54,nmr48,RB2550,aos35_ga_ms2,D2O,noesypr1d
2,3,A9,55,nmr49,RB2347,aos36_ga_ms2,D2O,noesypr1d
2,3,A10,56,nmr50,RB2347,aos37_ga_ms2,D2O,noesypr1d
2,3,A11,57,nmr51,PD1074,aos38_ga_ms2,D2O,noesypr1d
2,3,A12,58,nmr52,RB2550,aos40_ga_ms2,D2O,noesypr1d
2,3,B1,59,nmr53,VC1265,aos42_ga_ms2,D2O,noesypr1d
2,3,B2,60,nmr54,PD1074,aos43_ga_bku,D2O,noesypr1d
2,3,B3,61,nmr55,PD1074,aos54_ga_bku2,D2O,noesypr1d
2,3,B4,62,nmr56,RB2550,aos71_ga_ms2,D2O,noesypr1d
2,3,B5,63,nmr57,RB2347,aos74_ga_ms2,D2O,noesypr1d
2,3,B6,64,nmr58,PD1074,aos69_ga_ms1,D2O,noesypr1d
2,3,B7,65,nmr59,KJ550,aos86_ga_ms2,D2O,noesypr1d
2,3,B8,66,nmr60,PD1074,aos90_ga_ms3,D2O,noesypr1d
