UniqueID,rank,molecularFormula,adduct,precursorFormula,ZodiacScore,SiriusScore,TreeScore,IsotopeScore,numExplainedPeaks,explainedIntensity,medianMassErrorFragmentPeaks_ppm_,medianAbsoluteMassErrorFragmentPeaks_ppm_,massErrorPrecursor_ppm_,ionMass,retentionTimeInSeconds,id,ms2_id,num_strains_sig
met_3093,288,C42H85NO5,[M - H]-,C42H85NO5,1,8.87364665,8.87364665,0,4,0.236054972,-3.43039035,3.43039035,0.441863861,682.6358,412.75,71_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime412.75scanNumNApre,71,3
met_3094,1368,C46H59NO8,[M - H]-,C46H59NO8,0.153266332,1,1,0,1,0,NaN,NaN,-2.513767217,752.4149,116.05,382_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime116.05scanNumNApre,382,2
met_3122,338,C39H79NO5,[M - H]-,C39H79NO5,1,1,1,0,1,0,NaN,NaN,1.641962484,640.5896,404.53,2220_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime404.53scanNumNApre,2220,2
met_3125,298,C20H30O2,[M - H]-,C20H30O2,1,7.448251689,7.448251689,0,3,0.225854383,-2.668339581,2.668339581,0.651529511,301.2175,135.23,328_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime135.23scanNumNApre,328,4
met_3126,1148,C42H73N9O4,[M - H]-,C42H73N9O4,0.312562814,1,1,0,1,0,NaN,NaN,4.337002675,766.5746,347.45,472_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime347.45scanNumNApre,472,3
met_315,576,C26H32O11,[M - H]-,C26H32O11,0.97839196,6.760744766,6.760744766,0,2,0.045112782,-4.179970174,4.179970174,-1.705345286,519.1863,167.09,1868_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime167.09scanNumNApre,1868,1
met_3183,601,C44H86NO7P,[M - H]-,C44H86NO7P,0.969346734,16.82895194,16.82895194,0,6,0.574673959,-3.569607453,3.569607453,0.241017881,770.6071,404.97,497_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime404.97scanNumNApre,497,2
met_3186,59,C43H82NO8P,[M - H]-,C43H82NO8P,1,42.91680622,42.91680622,0,13,0.917197452,-1.577903636,1.577903636,2.428374142,770.5724,353.26,493_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime353.26scanNumNApre,493,2
met_3229,1017,C45H75NO,[M - H]-,C45H75NO,0.455276382,1,1,0,1,0,NaN,NaN,-1.535221585,644.5766,409.53,2230_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime409.53scanNumNApre,2230,2
met_3241,1054,C46H67N5O6,[M - H]-,C46H67N5O6,0.412562814,3.1622652,3.1622652,0,4,0.196009872,-1.625211641,1.625211641,2.47492503,784.5038,349.94,579_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime349.94scanNumNApre,579,1
