UniqueID,rank,molecularFormula,adduct,precursorFormula,ZodiacScore,SiriusScore,TreeScore,IsotopeScore,numExplainedPeaks,explainedIntensity,medianMassErrorFragmentPeaks_ppm_,medianAbsoluteMassErrorFragmentPeaks_ppm_,massErrorPrecursor_ppm_,ionMass,retentionTimeInSeconds,id,ms2_id,num_strains_sig
met_3413,449,C27H51NO4,[M + H]+,C27H51NO4,1,31.23195749,31.23195749,0,7,0.682898194,-1.654590993,1.654590993,0.912071933,454.3895,137.24,2115_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime137.24scanNumNApre,2115,2
met_3416,2010,C41H70O5,[M + Na]+,C41H70O5,0.3,6,6,0,1,0,NaN,NaN,1.73394123,665.5127,364.6,1284_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime364.6scanNumNAprec,1284,1
met_3434,899,C43H85NO3,[M + H]+,C43H85NO3,0.981909548,1,1,0,1,0,NaN,NaN,-0.033147901,664.6602,440.54,1282_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime440.54scanNumNApre,1282,1
met_3436,303,C42H83NO4,[M + H]+,C42H83NO4,1,65.89989863,65.89989863,0,10,0.511852704,-2.077955494,2.077955494,2.12019981,666.6409,484.18,1295_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime484.18scanNumNApre,1295,1
met_3467,1924,C41H70O3,[M + K]+,C41H70O3,0.346231156,6,6,0,1,0,NaN,NaN,4.997390926,649.4989,368.76,603_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime368.76scanNumNApre,603,2
met_3473,1682,C38H78O5,[M + K]+,C38H78O5,0.509045226,6,6,0,1,0,NaN,NaN,4.768262853,653.5512,333.43,765_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime333.43scanNumNApre,765,2
met_348,1590,C43H77N4O8P,[M + H]+,C43H77N4O8P,0.57638191,11.58506888,11.58506888,0,6,0.410067707,-1.074870931,2.968277065,-2.073372656,809.5535,174.92,2648_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime174.92scanNumNApre,2648,3
met_3488,1345,C46H80NO8P,[M + H]+,C46H80NO8P,0.798492462,14.45295147,14.45295147,0,8,1,-1.7737824,1.7737824,0.828691653,806.5701,220.66,2612_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime220.66scanNumNApre,2612,8
met_3489,102,C52H73NO5,[M + H]+,C52H73NO5,1,108.9267848,108.9267848,0,28,0.742589208,-2.65520942,2.744019328,-1.704472789,792.5548,278.15,2443_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime278.15scanNumNApre,2443,2
met_349,1365,C49H92O9,[M + H]+,C49H92O9,0.782914573,33.45636653,33.45636653,0,7,0.297351885,-2.981385127,2.981385127,-0.497741974,825.681,433.98,2845_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime433.98scanNumNApre,2845,4
