UniqueID,rank,molecularFormula,adduct,precursorFormula,ZodiacScore,SiriusScore,TreeScore,IsotopeScore,numExplainedPeaks,explainedIntensity,medianMassErrorFragmentPeaks_ppm_,medianAbsoluteMassErrorFragmentPeaks_ppm_,massErrorPrecursor_ppm_,ionMass,retentionTimeInSeconds,id,ms2_id,num_strains_sig
met_24,169,C12H14O4,[M + H]+,C12H14O4,1,35.72360637,35.72360637,0,9,0.786414108,-1.798795822,1.798795822,0.065531774,223.0965,56.7,479_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime56.7scanNumNAprecM,479,0
met_275,122,C8H15N2O3,[M + H]+,C8H15N2O3,1,42.6981491,42.6981491,0,7,0.535726266,-2.581143071,2.581143071,0.298794515,188.1156,532.79,399_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime532.79scanNumNApre,399,0
met_276,170,C8H16N2O4,[M + H]+,C8H16N2O4,1,35.36124644,35.36124644,0,11,0.993012969,-2.729304948,2.729304948,0.080713956,205.1183,554.84,442_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime554.84scanNumNApre,442,0
met_292,171,C11H19N3O6,[M + H]+,C11H19N3O6,1,34.87244686,34.87244686,0,14,0.983099177,-3.439822381,3.439822381,0.131731604,290.1347,506.82,642_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime506.82scanNumNApre,642,0
met_295,224,C9H19NO3,[M + H]+,C9H19NO3,1,25.66215005,25.66215005,0,7,0.976097149,-3.590698166,3.590698166,0.158195584,190.1438,230.53,410_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime230.53scanNumNApre,410,0
met_302,309,C7H17NO2,[M + H]+,C7H17NO2,1,11.40616733,11.40616733,0,5,0.7856,-3.453330936,3.453330936,-0.710415771,148.1331,280.17,320_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime280.17scanNumNApre,320,0
met_306,363,C9H15N3O3,[M + H]+,C9H15N3O3,0.998492462,36.35033983,36.35033983,0,9,1,-4.160395636,4.160395636,0.383936151,214.1187,450.81,461_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime450.81scanNumNApre,461,0
met_313,611,C19H29N5O9,[M + H]+,C19H29N5O9,0.522110553,43.14678592,43.14678592,0,17,1,-3.235475193,3.235475193,-0.431932519,472.2036,530.46,159_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime530.46scanNumNApre,159,0
met_331,717,C16H23NO7,[M + Na]+,C16H23NO7,0.153768844,1,1,0,1,0,NaN,NaN,-4.868459712,364.1349,530.54,23_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime530.54scanNumNApre,23,0
met_341,376,C10H17N3O9S,[M + H]+,C10H17N3O9S,0.997487437,44.2197611,44.2197611,0,14,0.976856203,-2.617413381,2.617413381,-0.074636048,356.0758,552.07,5_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime552.07scanNumNApre,5,0
